id,Happiness,SalaryPerMonthEmpMix,FeeFree,SalaryPerHour,SalaryPerMonth,JobPosition,Experience,HoursPerWeekEmp,HoursSpentFree,HoursPerDayMix,DaysPerMonthMix,Genre,VideoAudioTextFree,AnalogDigitalFree,MinPerAudioFree,MinPerVideoFree,CharPerArticleFree,Comment,Medium_id,Date,Suspiciousentry,Gegendarstellung
230,8,0,200,10,1600,"",3,0,20,0,0,"",text,Analog & Digital,0,0,13700,"",148,2018-10-01 12:48:05.004888+00,Ok,
231,6,1440,0,22.5,3600,Redakteur,3,0,0,8,8,None,keineAngabe,keineAngabe,0,0,0,"",149,2018-10-01 12:48:05.324026+00,Ok,
119,8,0,200,100,16000,"",,0,2,0,0,Servicetext,text,Analog,0,0,3000,"",64,2018-09-16 10:34:47+00,Ok,""
134,4,0,1500,25,4000,"",,0,60,0,0,Protokolle von Protagonisten,text,Analog,0,0,9300,"Zusammenarbeit ist professionell und freundlich, Briefing kurz und eindeutig. Hauptarbeit ist die Suche nach Protagonisten. Die Bezahlung war haarscharf an der Grenze, den Auftrag abzulehnen.",75,2018-09-19 08:07:42+00,Ok,""
139,5,0,208,16.64,2662.4,"",,0,12.5,0,0,Reportage,text,Analog,0,0,4800,"",79,2018-09-19 08:33:09+00,Ok,""
140,5,0,150,18.75,3000,"",,0,8,0,0,,text,Digital,0,0,5000,"",80,2018-09-19 08:33:22+00,Ok,""
195,5,0,20,20,3200,"",,0,1,0,0,Reportage,text,Analog & Digital,0,0,400,Mir wurden damals sage und schreibe 20 Euro für ein Bilderpaket angeboten. Zusätzlich zum Texthonorar.,80,2018-09-26 07:46:32+00,Ok,""
194,6,0,105,35,5600,"",,0,3,0,0,Essay,text,Analog & Digital,0,0,7000,"Sehr nette Zusammenarbeit. Bezahlung nach Haustarif/Zeile. Geht natürlich nur, wenn man keine aufwändigen Recherchen oder Besuche außen hat.",81,2018-09-26 07:39:18+00,Ok,""
150,7,0,450,45,7200,"",,0,10,0,0,Report,text,Analog & Digital,0,0,6000,"",90,2018-09-19 08:50:26+00,Ok,""
152,9,0,240,60,9600,"",,0,4,0,0,Feature,text,Analog & Digital,0,0,6000,"",91,2018-09-19 08:51:46+00,Ok,""
168,7,0,1200,37.5,6000,"",,0,32,0,0,,,Analog & Digital,0,6,0,"Von Themenvorschlag bis schließlicher Umsetzung mehrere Änderungswünsche und Teil des Themenvorschlags anderweitig vergeben, aber unkomplizierte Abnahme.",101,2018-09-19 10:48:24+00,Ok,""
169,7,0,501,17.8928571428571,2862.85714285714,"",,0,28,0,0,,,Analog & Digital,0,4,0,Schnelle Reaktion auf Themenvorschlag. Bei Abnahme alles gut. Zahlung allerdings in Honorarabteilung untergegangen (trotz Abrechnung) und erst Monate später erhalten.,101,2018-09-19 10:50:42+00,Ok,""
205,7,0,400,5.55555555555556,888.888888888889,"",,0,72,0,0,Reportage,text,Analog,0,0,10000,"",129,2018-09-30 22:45:43+00,Ok,""
129,9,0,1600,57.1428571428571,9142.85714285714,"",5,0,28,0,0,Reportage,text,Analog & Digital,0,0,13500,Vorbild für kollegiale Zusammenarbeit und gute Redigatur.,71,2018-09-19 07:13:50.446432+00,Ok,
131,9,0,545,34.0625,5450,"",5,0,16,0,0,Feature,text,Analog & Digital,0,0,3500,"",70,2018-09-19 07:18:45.35758+00,Ok,
136,9,0,500,31.25,5000,"",3,0,16,0,0,Reportage,text,Analog & Digital,0,0,9000,War alles super. ,77,2018-09-19 08:19:59.400528+00,Ok,
154,6,0,80,16,2560,"",5,0,5,0,0,Kultur,text,Analog & Digital,0,0,3400,"Sehr gute Arbeitsatmosphäre, unkomplizierter Terminjournalismus, aber leider auch nicht mehr. ",93,2018-09-19 08:52:09.933532+00,Ok,
163,8,0,179,11.1875,1790,"",5,0,16,0,0,Reise,text,Analog & Digital,0,0,4200,"",100,2018-09-19 10:14:38.041003+00,Ok,
170,9,0,428,23.7777777777778,3804.44444444444,"",5,0,18,0,0,Feature,text,Analog,0,0,9000,"",102,2018-09-19 10:52:00.908445+00,Ok,
175,7,0,880,10.3529411764706,1656.47058823529,"",5,0,85,0,0,Honorar für Text UND Fotos. Reise. ,text,Analog,0,0,8800,"",106,2018-09-19 13:41:59.793932+00,Ok,
181,5,0,250,29.4117647058824,4705.88235294118,"",5,0,8.5,0,0,"",text,Digital,0,0,5400,"",111,2018-09-21 09:40:54.795787+00,Ok,
183,5,0,220,27.5,4400,"",5,0,8,0,0,"",text,Digital,0,0,5000,"",113,2018-09-21 09:42:50.284343+00,Ok,
206,7,0,400,5.51724137931035,882.758620689655,"",5,0,72.5,0,0,Feature,text,Analog & Digital,0,0,10500,Angenehme Zusammenarbeit mit Redaktion,130,2018-09-30 22:46:54.77134+00,Ok,
207,4,0,175,4.26829268292683,682.926829268293,"",5,0,41,0,0,Reportage,text,Digital,0,0,10000,"Aufwändige Reportage (Zweitverwertung). Pauschale vereinbart für Text und drei Fotos, dann erschienen aber vier. Ungutes Gefühl bei einem Medium, das sich als soziales Gewissen versteht, Freie aber selbst ausquetscht wie eine Zitrone",131,2018-09-30 22:50:36.941695+00,Ok,
208,7,0,350,4.82758620689655,772.413793103448,"",,0,72.5,0,0,Reportage,text,Analog & Digital,0,0,8500,"",132,2018-09-30 22:51:48.353598+00,Ok,
209,5,2400,0,15,2400,Volontär,3,40,0,0,0,None,keineAngabe,keineAngabe,0,0,0,"",133,2018-10-01 12:38:48.214565+00,Ok,
213,9,1070,0,26.75,4280,Redakteur,3,0,0,5,8,None,keineAngabe,keineAngabe,0,0,0,"",136,2018-10-01 12:42:06.936705+00,Ok,
214,9,0,287,41,6560,"",3,0,7,0,0,Bericht,text,Analog & Digital,0,0,8600,"",137,2018-10-01 12:42:29.020911+00,Ok,
216,2,0,50,8.33333333333333,1333.33333333333,"",5,0,6,0,0,"",text,Analog & Digital,0,0,4000,"",139,2018-10-01 12:42:50.157231+00,Ok,
219,9,0,435,27.1875,4350,"",3,0,16,0,0,Analyse,text,Analog & Digital,0,0,8500,"",140,2018-10-01 12:44:55.622383+00,Ok,
223,5,0,1200,20,3200,"",5,0,60,0,0,"",text,Analog,0,0,10000,"",142,2018-10-01 12:46:01.441265+00,Ok,
224,7,3210,0,40.125,6420,Redakteur,0,0,0,8,10,None,keineAngabe,keineAngabe,0,0,0,"",143,2018-10-01 12:46:24.937262+00,Ok,
225,8,0,1250,50,8000,"",3,0,25,0,0,"",text,Analog,0,0,13100,"",144,2018-10-01 12:46:28.248814+00,Ok,
226,9,0,400,40,6400,"",3,0,10,0,0,Porträt,text,Analog & Digital,0,0,4000,"",145,2018-10-01 12:46:35.210391+00,Ok,
229,8,0,300,60,9600,"",5,0,5,0,0,"",text,Digital,0,0,4000,"",147,2018-10-01 12:47:28.523668+00,Ok,
233,5,0,900,11.25,1800,"",0,0,80,0,0,Reportage,text,Analog,0,0,12000,"",151,2018-10-01 12:48:41.549651+00,Ok,
234,7,0,400,50,8000,"",5,0,8,0,0,"",text,Analog & Digital,0,0,8000,"",152,2018-10-01 12:49:06.616336+00,Ok,
135,9,0,850,35.4166666666667,5666.66666666667,"",,0,24,0,0,Feature,text,Analog & Digital,0,0,13000,Sehr nette Redakteure. Ein bis zwei Korrekturschleifen mit übersichtlichem Aufwand.,76,2018-09-19 08:18:24+00,Ok,""
