id,mediumname,freeoremployed,UpDate,fairness,Suspiciousmedium
393,"Produktionsfirmen i.A. von ARD, ZDF, Deutsche Welle, 3sat, arte",frei,2018-10-04 13:22:30.474079+00,"",Weird
364,WDR 5,frei,2018-10-05 20:53:43.63463+00,"",Ok
284,Der Focus,fest,2018-10-04 07:53:25.51712+00,,Ok
328,Apotheken-Umschau,frei,2018-10-04 16:39:59.342763+00,"",Ok
304,Alpin,frei,2018-10-04 16:43:37.779492+00,"",Ok
380,Neue Osnabrücker Zeitung,frei,2018-10-04 18:14:42.546413+00,"",Ok
374,Radio,fest,2018-10-04 20:38:56.00768+00,"",Ok
321,Abendzeitung,frei,2018-10-04 18:29:21.805082+00,"",Ok
310,Rheinische Post,frei,2018-10-06 18:55:24.276172+00,"",Ok
335,Fernsehen,fest,2018-10-04 19:42:09.704831+00,"",Ok
387,Tag des Herrn,frei,2018-10-04 22:00:00.962925+00,"",Ok
291,Spiegel Online,fest,2018-10-05 19:16:19.293347+00,"",Ok
340,pma,frei,2018-10-04 09:51:13.248321+00,,Ok
297,Bayerischer Rundfunk,frei,2018-10-05 08:57:28.21956+00,"",Ok
389,Bild,frei,2018-10-05 09:21:18.389527+00,"",Ok
294,Tageszeitung,fest,2018-10-05 10:32:26.196689+00,"",Ok
293,Rundfunk Berlin-Brandenburg,fest,2018-10-06 16:54:34.848565+00,"",Ok
262,Süddeutsche Zeitung,fest,2018-10-05 18:32:09.614271+00,"",Ok
363,Werben und Verkaufen,frei,2018-10-04 11:01:26.332649+00,,Ok
296,T-Online,frei,2018-10-06 19:47:44.660004+00,"",Ok
394,Produktionsfirma i.A. von 3sat,frei,2018-10-04 13:27:43.239419+00,"",Ok
395,Produktionsfirma i.A. arteJournal,frei,2018-10-04 13:28:44.766259+00,"",Ok
396,Produktionsfirma i-A- Deutsche Welle,frei,2018-10-04 13:29:53.289988+00,"",Weird
397,Produktionsfirma iA ZDF,frei,2018-10-04 13:32:12.470273+00,"",Ok
398,Sport1,pauschal,2018-10-04 13:39:15.407257+00,"",Ok
400,Online-Redaktion Fachzeitschrift,fest,2018-10-04 13:42:13.420255+00,"",Ok
402,Zeit Campus Online,frei,2018-10-04 13:44:32.442431+00,"",Ok
403,Zentralbild,fest,2018-10-04 13:44:39.165378+00,"",Ok
315,Cicero,frei,2018-10-04 13:45:45.87967+00,"",Ok
404,Munich Online,fest,2018-10-04 13:56:00.171897+00,"",Ok
405,enorm Magazin,fest,2018-10-04 13:57:45.478325+00,"",Ok
406,Burda,fest,2018-10-04 14:03:42.826737+00,"",Ok
407,Zeit Online,fest,2018-10-04 14:04:04.268176+00,"",Ok
409,Technik + Einkauf,frei,2018-10-04 14:17:53.334557+00,"",Ok
410,Neue Zürcher Zeitung,fest,2018-10-04 14:18:21.077385+00,"",Ok
411,Der Tagesspiegel,pauschal,2018-10-04 14:18:48.821255+00,"",Ok
412,Best-in-Procurement,frei,2018-10-04 14:19:15.544005+00,"",Ok
413,Mit Vergnügen,frei,2018-10-04 14:19:51.390691+00,"",Ok
414,Funke Mediengruppe (Online),fest,2018-10-04 14:23:01.989925+00,"",Ok
415,Kreiszeitung,fest,2018-10-04 14:25:43.840008+00,"",Ok
417,dpa themendienst,frei,2018-10-04 14:36:04.268717+00,"",Ok
420,Euronews,pauschal,2018-10-04 14:41:16.524406+00,"",Ok
421,Online News,fest,2018-10-04 14:55:24.05621+00,"",Ok
422,Radio,frei,2018-10-04 14:57:06.925311+00,"",Ok
424,Senioren Ratgeber,fest,2018-10-04 15:03:55.394527+00,"",Ok
479,Bento,pauschal,2018-10-04 19:32:08.375441+00,"",Ok
423,WDR 1LIVE,frei,2018-10-04 15:11:11.951723+00,"",Ok
480,Remscheider General-Anzeiger,frei,2018-10-04 19:33:55.187234+00,"",Ok
427,Detektor.fm Wort,frei,2018-10-04 15:13:33.611415+00,"",Ok
428,N-tv,pauschal,2018-10-04 15:13:48.833624+00,"",Ok
429,WDR COSMO,pauschal,2018-10-04 15:16:47.873298+00,"",Ok
430,online,fest,2018-10-04 15:22:29.944014+00,"",Ok
431,WDR 1Live,frei,2018-10-04 15:26:06.772354+00,"",Ok
432,Zeitschrift,fest,2018-10-04 15:32:40.044357+00,"",Ok
433,WAZ Lokalredaktion Bochum,frei,2018-10-04 15:42:26.653046+00,"",Ok
358,WDR Fernsehen,frei,2018-10-04 15:44:58.439698+00,"",Ok
434,Funke Medien Gruppe,fest,2018-10-04 16:02:17.639735+00,"",Ok
436,Nordsee-Zeitung,fest,2018-10-04 16:05:09.651344+00,"",Ok
437,Stern,fest,2018-10-04 16:10:37.487389+00,"",Ok
481,Funke Medien Gruppe,frei,2018-10-04 19:37:16.908485+00,"",Ok
226,Unispiegel,frei,2018-10-04 16:12:36.606662+00,"",Ok
484,Die Tageszeitung,fest,2018-10-04 20:12:10.275852+00,"",Ok
442,BILD,fest,2018-10-04 16:52:35.743417+00,"",Ok
443,Lübecker Nachrichten,pauschal,2018-10-04 16:52:56.53303+00,"",Ok
444,Daddylicious,frei,2018-10-04 16:54:20.567449+00,"",Ok
